id,vehicle_type,registration_number,capacity_kg,fuel_type,operating_cost_per_km,is_active
254ecd50-495a-4112-a03e-058b3f47961e,van,IND-8467,671.0,diesel,7.89,True
e8df0ad4-1172-451d-b058-2828e1bad625,van,IND-6704,366.0,gasoline,2.16,True
7c4665b1-cf13-4838-b55a-336977ce27f0,bike,IND-2906,20.0,none,2.28,True
b6b5e9aa-0ef2-41bb-94ef-8309d426ed5a,bike,IND-8267,10.0,none,4.49,True
f80af3d6-12cd-47e8-85c9-534aec70fd20,bike,IND-7142,24.0,none,6.2,True
b5ad9a7e-29c0-4e17-ac72-bc0c2866ba01,bike,IND-5736,19.0,none,7.08,True
06366ddc-bbe1-40d5-aca7-871406f1a05e,bike,IND-8109,21.0,none,4.47,True
1abbfcdf-4b92-40cf-9a0f-5c225f7877cf,van,IND-6660,655.0,diesel,3.69,True
44270a43-71a2-4c84-89d3-af6b51e1ad2b,bike,IND-5662,17.0,none,5.95,True
6adbd33a-93c7-44c0-a5a0-8a3f205c1b3f,bike,IND-8623,10.0,none,6.44,True
8722ca8d-3440-465f-84e8-ecd6c05e0966,scooter,IND-8911,16.0,electric,3.9,True
502b0c3d-e6d1-4002-a327-4bd8db496f65,bike,IND-9348,18.0,none,6.72,True
0290555e-4fb7-47cc-934d-640bb62773e8,van,IND-2345,753.0,gasoline,3.67,True
80834b9e-755c-4082-9658-c0864ae9e8b3,bike,IND-7997,14.0,none,3.11,True
e94d994a-0880-4285-a963-fdbb736413bc,scooter,IND-4796,22.0,diesel,7.0,True
a1e0b002-d4f0-44e1-b5e2-a449cc64190c,scooter,IND-4749,25.0,gasoline,5.52,True
1d1d2b0e-205d-4f06-a90f-cf9de5d9e4a0,scooter,IND-6319,22.0,electric,6.25,True
c2376045-16ff-421d-8e2c-958bfbfdfbf1,bike,IND-1857,22.0,none,6.2,True
440e9c8c-33cd-49e4-bf1b-25cf926fa387,scooter,IND-5652,11.0,diesel,5.96,True
129791d7-03b0-4ea9-9d18-541f359f1ac3,scooter,IND-4910,10.0,diesel,2.6,True
89f16b1c-3f5e-4b6c-8d4b-d9dc97e6d289,bike,IND-7753,21.0,none,5.92,True
7139e4c5-62b1-4338-917a-737a017038c7,bike,IND-6166,18.0,none,2.91,True
3d986d8a-0fbb-426c-a66b-78a77948845c,scooter,IND-9049,16.0,electric,7.48,True
189d4c2f-9a71-4995-b631-e8fc939c0fb8,bike,IND-1317,21.0,none,7.02,True
58dfa382-1567-4350-b10f-d74bda354bbc,bike,IND-6167,17.0,none,3.4,True
17bc10fc-79fb-43be-8406-1576990d6689,scooter,IND-2631,11.0,electric,4.26,True
60e1c0e0-2d40-40d0-bd5a-e091080f8b4d,scooter,IND-5397,21.0,gasoline,4.72,True
a3debf52-066d-4390-88d4-e80de7fdb8db,van,IND-4167,712.0,gasoline,3.47,True
090191a6-ea2b-49b3-9fcc-e3be86782688,bike,IND-2085,24.0,none,6.37,True
85d53150-6ec9-4619-983d-4e843fcef0c8,bike,IND-1751,22.0,none,5.87,True
a4e9a0cf-d16b-40de-8d4d-a0cd338f9af3,scooter,IND-4204,25.0,gasoline,6.37,True
8669a07a-904c-42a7-83dc-af19eb514ceb,van,IND-4452,725.0,diesel,6.26,True
3e5d2caa-4691-45bf-96c3-d1d991e0a0e1,bike,IND-7036,25.0,none,7.66,True
c5fc5373-19de-45e2-8546-8a907e79810d,bike,IND-9211,11.0,none,5.95,True
